species_name,total_trade_records,total_quantity,num_importers,num_exporters,num_trade_years,avg_quantity_per_trade,trade_diversity,trade_intensity,log_total_quantity,log_trade_records,pathogen_network_degree,avg_neighbor_degree,clustering_coefficient,max_degree_variant,is_pathogen_hub,is_high_risk_reservoir,normalized_degree,high_risk_label
Crocodylus niloticus,893921,53421761.05585868,220,163,50,59.76116575833735,35860,59.76116575833735,17.79372875004891,13.703373802027148,684,581.3728070175439,0.72720111650527,684,0,1,0.4581379772270596,1
Crocodylus novaeguineae,77070,5401054.22153334,150,61,50,70.07985236192215,9150,70.07985236192215,15.502104903839246,11.252482353905197,0,0.0,0.0,0,0,0,0.0,0
Crocodylus siamensis,126797,18345073.994,156,53,48,144.6806627443867,8268,144.6806627443867,16.72487170374354,11.750350547990207,0,0.0,0.0,0,0,0,0.0,0
Crocodylus spp.,4769,937491.939,52,127,50,196.58040239043825,6604,196.58040239043825,13.750964505065006,8.470101583882387,0,0.0,0.0,0,0,0,0.0,0
Dendrocygna arborea,80,404.0,31,14,30,5.05,434,5.05,6.003887067106539,4.394449154672439,0,0.0,0.0,0,0,0,0.0,0
Dendrolagus inustus,41,269.0,11,12,17,6.560975609756097,132,6.560975609756097,5.598421958998375,3.7376696182833684,0,0.0,0.0,0,0,0,0.0,0
Diceros bicornis,1503,52668.488,69,55,50,35.04224085163007,3795,35.04224085163007,10.871791591526446,7.315883504509785,177,366.61581920903956,0.5053287108371854,177,0,0,0.11855324849296718,1
Elephas maximus,22120,359549.131222211,141,139,50,16.254481519991455,19599,16.254481519991455,12.792608893492918,10.004282662571022,579,419.979274611399,0.4597295181406912,579,0,1,0.38780977896851976,1
Equus przewalskii,772,37936.5,48,38,48,49.140544041450774,1824,49.140544041450774,10.543695347801854,6.650279048587422,525,647.3180952380952,1.0,525,0,1,0.35164099129269927,1
Eulemur macaco,289,3499.4,36,29,47,12.108650519031142,1044,12.108650519031142,8.160632526661676,5.66988092298052,83,444.0,1.0,83,0,0,0.055592766242464835,1
Eunectes notaeus,25843,1321573.705,128,80,50,51.1385560886894,10240,51.1385560886894,14.094334541886507,10.159833744678057,0,0.0,0.0,0,0,0,0.0,0
Eunymphicus cornutus,363,915.8,40,20,44,2.5228650137741044,800,2.5228650137741044,6.820889345960475,5.8971538676367405,0,0.0,0.0,0,0,0,0.0,0
Falco biarmicus,1723,7401.0,73,55,50,4.295414973882763,4015,4.295414973882763,8.909505512946101,7.452402451223638,0,0.0,0.0,0,0,0,0.0,0
Gallicolumba luzonica,281,2364.0,53,19,45,8.412811387900355,1007,8.412811387900355,7.768533300926033,5.641907070938114,0,0.0,0.0,0,0,0,0.0,0
Gallirallus australis,8,22.0,5,3,6,2.75,15,2.75,3.1354942159291497,2.1972245773362196,0,0.0,0.0,0,0,0,0.0,0
Gorilla gorilla,1055,72172.042,49,48,50,68.40951848341233,2352,68.40951848341233,11.186821875656051,6.962243464266207,277,302.6317689530686,0.34251556532203215,277,0,0,0.1855324849296718,1
Grus americana,455,4675.215,7,4,45,10.275197802197802,28,10.275197802197802,8.450244301004568,6.1224928095143865,112,503.51785714285717,1.0,112,0,0,0.07501674480910918,1
Heloderma horridum,478,3963.18,41,27,47,8.291171548117154,1107,8.291171548117154,8.285054303097038,6.171700597410915,0,0.0,0.0,0,0,0,0.0,0
Indotestudo elongata,1550,1151655.46,41,33,49,743.0035225806452,1353,743.0035225806452,13.956711863958436,7.346655163176539,0,0.0,0.0,0,0,0,0.0,0
Leopardus pardalis,2920,326267.6,77,79,49,111.73547945205479,6083,111.73547945205479,12.6954762474882,7.979681302387741,329,402.0790273556231,0.682426421528653,329,0,0,0.2203616878767582,1
Leopardus wiedii,879,229512.2,45,46,46,261.1060295790671,2070,261.1060295790671,12.343715823168605,6.779921907472252,0,0.0,0.0,0,0,0,0.0,0
Leptailurus serval,7374,21337.41,136,97,50,2.89360048820179,13192,2.89360048820179,9.968264014113627,8.905851181208021,761,541.6951379763469,0.5993982986375268,761,0,1,0.5097119892833222,1
Leucopsar rothschildi,824,2821.0,58,28,47,3.4235436893203883,1624,3.4235436893203883,7.945201132412759,6.715383386334681,97,480.4226804123711,1.0,97,0,0,0.06496985934360348,1
Lontra longicaudis,190,108809.07,23,27,27,572.6793157894738,621,572.6793157894738,11.597359164268076,5.25227342804663,0,0.0,0.0,0,0,0,0.0,0
Lophura swinhoii,398,2045.0,79,28,48,5.13819095477387,2212,5.13819095477387,7.6236419465115715,5.988961416889864,0,0.0,0.0,0,0,0,0.0,0
Macaca silenus,385,872.07,37,31,46,2.265116883116883,1147,2.265116883116883,6.772015735901155,5.955837369464831,167,320.3293413173653,0.618642233605079,167,0,0,0.11185532484929672,1
Malacochersus tornieri,1614,114818.0,53,43,44,71.13878562577447,2279,71.13878562577447,11.651112254399605,7.387090235656757,0,0.0,0.0,0,0,0,0.0,0
Malayopython reticulatus,1084534,77880630.77967606,223,157,50,71.81022520241511,35011,71.81022520241511,18.170687850655145,13.896661881665143,0,0.0,0.0,0,0,0,0.0,0
Melanosuchus niger,436,11669.5,39,41,42,26.764908256880734,1599,26.764908256880734,9.364819569264242,6.07993319509559,0,0.0,0.0,0,0,0,0.0,0
Monodon monoceros,25683,87209.49,82,37,49,3.395611493984348,3034,3.395611493984348,11.376079900826964,10.153623508913938,0,0.0,0.0,0,0,0,0.0,0
Odobenus rosmarus,26140,1325780.408,112,87,49,50.718454781943386,9744,50.718454781943386,14.097512585459846,10.171260241993542,584,606.0171232876712,0.8372670880424822,584,0,1,0.391158740790355,1
Osteolaemus tetraspis,1792,9575.0,60,76,47,5.343191964285714,4560,5.343191964285714,9.16701524723781,7.491645473605133,0,0.0,0.0,0,0,0,0.0,0
Paleosuchus spp.,70,11528.0,15,15,12,164.68571428571428,225,164.68571428571428,9.352620879232953,4.2626798770413155,0,0.0,0.0,0,0,0,0.0,0
Pan troglodytes,4689,142177.827,134,143,50,30.321566858605244,19162,30.321566858605244,11.864840889343942,8.453187861440325,606,361.6716171617162,0.32702179308839974,606,0,1,0.40589417280643003,1
Panthera onca,2125,14693.0129,114,99,49,6.914359011764706,11286,6.914359011764706,9.595195404089187,7.661997558901893,95,476.11578947368423,1.0,95,0,0,0.06363027461486939,1
Panthera pardus,66458,195647.2042,176,157,50,2.943922540551928,27632,2.943922540551928,12.184073448961117,11.104340495150785,847,504.13695395513577,0.505957614274829,847,1,1,0.5673141326188882,1
Panthera tigris,13340,25173321.638,162,165,50,1887.0555950524738,26730,1887.0555950524738,17.041295366265736,9.498597279178806,998,470.8426853707415,0.42420045708267085,998,1,1,0.6684527796383122,1
Panthera uncia,1037,3150.002,57,51,49,3.0376104146576663,2907,3.0376104146576663,8.05547577647621,6.945051063725834,321,527.0809968847352,0.7750194704049844,321,0,0,0.21500334896182183,1
Phoenicoparrus andinus,22,373.0,10,9,17,16.954545454545453,90,16.954545454545453,5.924255797414532,3.1354942159291497,268,569.955223880597,1.0,268,0,0,0.17950435365036838,0
Phoenicoparrus jamesi,17,85.0,5,9,11,5.0,45,5.0,4.454347296253507,2.8903717578961645,0,0.0,0.0,0,0,0,0.0,0
Polihierax semitorquatus,204,789.0,24,15,30,3.8676470588235294,360,3.8676470588235294,6.672032945461067,5.3230099791384085,0,0.0,0.0,0,0,0,0.0,0
Polyplectron bicalcaratum,532,7200.0,68,27,48,13.533834586466165,1836,13.533834586466165,8.881975184248867,6.278521424165844,0,0.0,0.0,0,0,0,0.0,0
Pongo pygmaeus,1211,58827.412,71,63,49,48.57754913294797,4473,48.57754913294797,10.982380214463417,7.10002716662926,384,331.4296875,0.3052110530896432,384,0,0,0.2572002679169457,1
Probosciger aterrimus,968,4263.1,73,56,49,4.404028925619835,4088,4.404028925619835,8.35798641772828,6.876264611890766,274,543.8284671532847,1.0,274,0,0,0.18352310783657066,1
Prosopeia personata,13,747.0,9,5,9,57.46153846153846,45,57.46153846153846,6.617402977974478,2.6390573296152584,0,0.0,0.0,0,0,0,0.0,0
Python bivittatus,561847,18702815.25967467,214,145,50,33.28809312797731,31030,33.28809312797731,16.744184672607094,13.238986629660761,0,0.0,0.0,0,0,0,0.0,0
Python curtus,37846,7287738.425,141,62,50,192.56297693283307,8742,192.56297693283307,15.801703963303598,10.541306995486556,0,0.0,0.0,0,0,0,0.0,0
Python molurus,29582,589920.468666665,104,86,49,19.941872377346527,8944,19.941872377346527,13.287744703067979,10.294955151000439,0,0.0,0.0,0,0,0,0.0,0
Python regius,40976,9101893.75,151,112,50,222.1274343518157,16912,222.1274343518157,16.023993164099206,10.620766212671002,0,0.0,0.0,0,0,0,0.0,0
Python sebae,23063,2284802.403,151,117,49,99.06787508129905,17667,99.06787508129905,14.641790540534556,10.046028239318238,0,0.0,0.0,0,0,0,0.0,0
Python spp.,4664,524911.438,82,136,49,112.54533404802744,11152,112.54533404802744,13.17098674290173,8.447843113281444,0,0.0,0.0,0,0,0,0.0,0
Rupicapra pyrenaica,33,1044.0,6,14,13,31.636363636363637,84,31.636363636363637,6.951772164398911,3.5263605246161616,85,330.38823529411764,0.7781512605042017,85,0,0,0.056932350971198926,0
Stigmochelys pardalis,10572,1710661.24,118,81,50,161.81055996973137,9558,161.81055996973137,14.352391128361093,9.266058860732526,24,398.125,1.0,24,0,0,0.016075016744809108,1
Syrmaticus humiae,248,1063.0,48,18,43,4.286290322580645,864,4.286290322580645,6.96979066990159,5.517452896464707,0,0.0,0.0,0,0,0,0.0,0
Tanygnathus lucionensis,539,4558.0,45,26,49,8.456400742115028,1170,8.456400742115028,8.424858580213442,6.29156913955832,0,0.0,0.0,0,0,0,0.0,0
Tapirus indicus,288,601.5,31,28,49,2.0885416666666665,868,2.0885416666666665,6.40108766536481,5.666426688112432,0,0.0,0.0,0,0,0,0.0,0
Tapirus terrestris,584,1741.531,71,52,48,2.9820736301369863,3692,2.9820736301369863,7.463093933007276,6.371611847231857,124,408.81451612903226,0.7214791502753737,124,0,0,0.08305425318151373,1
Testudo hermanni,8371,1219916.0,102,92,49,145.73121490861308,9384,145.73121490861308,14.01429338160822,9.03264808356589,0,0.0,0.0,0,0,0,0.0,0
